"# Import the test cases you want to use to test your agent"
"#"
"# Limitations"
"# - maximum of 100 questions"
"# - maximum 500 characters per question including spaces"
"#"
"# Imported columns"
"# question - User question that the agent will answer."
"# expectedResponse - Expected responses to run match, similarity and compare meaning test cases."
"#"
"# Test methods"
"# - Test methods are not included in this template. You can configure test methods after importing the test cases."
"# - Initially, the default test method will be added to the imported test set."
"#"
"# Note: le risposte attese sono esemplari (golden answer) concise, non meta-istruzioni."
"# I numeri di ticket sono volutamente omessi nei casi tecnici (molti ticket sono pertinenti)."
"# Consigliato: GeneralQuality per i casi tecnici, CompareMeaning per i casi comportamentali."
"#"
"question","expectedResponse"
"Ho un errore 'Purchase order not found' sulla ricezione verso ERP. Come lo risolvo?","L'errore indica che il PO referenziato dalla ricezione non esiste o non e' attivo in Oracle al momento dell'integrazione. Verifica se il PO esiste in Fusion; se manca, controlla lo stato dell'integrazione (OIC/flow run) e crea/correggi il PO, poi rilancia (retry) la ricezione. Casi storici simili nel gruppo Procurement and SCM / Integration Support."
"Un Sales Order e' bloccato in errore nella WSH Interface. Cosa devo controllare?","Verifica le tabelle di interfaccia shipping (WSH_DELIVERY_DETAILS_INTERFACE / WSH_NEW_DELIVERIES_INTERFACE) e il messaggio d'errore. Cause tipiche: serial/lot non coerenti tra origine e Fusion, o delivery name duplicato. Allinea i dati, ripulisci le righe bloccate e rilancia il job di spedizione. Caso storico nel gruppo Integration Support."
"Ci sono stati problemi di ritardo nell'aggiornamento dei prezzi (price update)?","Si', nello storico risultano casi di anomalie sull'aggiornamento dei listini/price list (gruppo Product HUB / Procurement). Verifica che le Price List siano Approved/Active con date corrette e che i job di import/aggiornamento prezzi siano andati a buon fine; in caso di dati mancanti aprire una Change Request. La risposta dovrebbe citare almeno un ticket di riferimento."
"Quali problemi ricorrenti ci sono stati sulla creazione di fornitori/supplier?","Problemi ricorrenti: soggetto gia' esistente come Customer che impedisce la creazione come Supplier (duplicato Tax ID/party), ed errori di caricamento via FBDI sui supplier sites. La risposta dovrebbe aggregare piu' casi (gruppo Financials / Procurement and SCM) e indicare verifiche su party esistente e template FBDI."
"Calcolo errato della due date per il payment term EOM. Dove intervengo?","Verifica se la Due Date e' stata sovrascritta manualmente negli Installments (in tal caso non viene ricalcolata) e controlla la configurazione del Payment Term EOM in Payables Setup (formula End of Month + offset). Riapplica il payment term dall'header per forzare il ricalcolo. Caso storico nel gruppo Financials."
"Come gestisco un errore 'Missing F5801SXR setup' su una spedizione JDE?","La tabella JDE F5801SXR (Store Cross Reference) non ha la entry per i valori indicati (es. X1AA08/X1ALKY/X1EFTJ). Verifica con una query su F5801SXR; se manca, crea il setup o correggi l'Address Book (campo ALKY, evitando spazi finali) e rilancia il batch R5801SXRB, poi riprocessa l'albaran. Caso storico nel gruppo Deloitte JDE."
"Mostrami problemi legati ai dati dei dipendenti in HCM.","Nello storico ci sono piu' casi su dati dipendente in HCM (gruppo Integration Support / HCM Support): profilo legato alla country errata, duplicazioni in report per doppio manager, righe multiple per variazione manager. Le correzioni avvengono su Work Relationship / Manager Assignment in HCM Core. La risposta dovrebbe citare almeno un ticket."
"Una fattura PO risulta bloccata in registrazione. Cosa verifico?","Verifica gli Invoice Holds (matching/receiving): controlla che le righe PO siano correttamente ricevute e che i receipt non siano in errore di integrazione. In alternativa il blocco puo' riguardare la numerazione/protocollo lato Financials. Sana ricezioni o sequenze e rilancia Validate/Create Accounting. Casi storici nei gruppi Procurement and SCM / Financials."
"Non riesco a registrare lo storno di una fattura. Come procedo?","Verifica lo stato della fattura e di eventuali documenti collegati (receipt, pagamenti) che impediscono lo storno; controlla periodo contabile aperto ed eventuali hold. Se il flusso verso sistemi a valle (es. GOAL) e' coinvolto, verifica anche l'integrazione. Caso storico nel gruppo Financials."
"La VAT Liquidation Listing italiana non mostra alcuni registri IVA. Cosa controllo?","Verifica la configurazione dei registri IVA (tax registers) e l'associazione alle transazioni del periodo; controlla che il Tax Management / Tax Reporting sia configurato e che il processo di liquidazione IVA includa i registri attesi. Caso storico nel gruppo Integration Support / Financials."
